cQtrAvgEst,cQtrHighEst,cQtrLowEst,cQtrNoAnlst,cQtrYearAgoEPS,cYearAvgEst,cYearHighEst,cYearLowEst,cYearNoAnlst,cYearYearAgoEPS,nQtrAvgEst,nQtrHighEst,nQtrLowEst,nQtrNoAnlst,nQtrYearAgoEPS,nYearAvgEst,nYearHighEst,nYearLowEst,nYearNoAnlst,nYearYearAgoEPS,tickerName
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
-0.19,-0.17,-0.24,6,-0.45,-0.81,-0.73,-0.93,6,-1.2,-0.2,-0.17,-0.23,6,-0.24,-0.69,-0.35,-0.94,High Estimate,-0.81,A
1.1,1.13,1.08,20,1.14,4.26,4.32,4.24,23,4.44,1.22,1.26,1.19,20,1.19,4.71,4.87,4.63,High Estimate,4.26,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0.32,0.33,0.31,7,0.29,1.2,1.22,1.18,8,0.97,0.26,0.28,0.25,7,0.26,1.32,1.37,1.25,High Estimate,1.2,A
0.06,0.08,0.05,3,0.1,0.21,0.24,0.2,3,0.44,0.12,0.12,0.11,3,0.21,0.52,0.56,0.5,High Estimate,0.21,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
-0.43,-0.31,-0.49,5,-0.15,-1.62,-1.33,-1.8,5,-1.3,-0.42,-0.31,-0.48,5,-0.4,-0.47,0.26,-1.12,High Estimate,-1.62,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
1.46,1.51,1.42,11,1.36,5.8,5.87,5.73,16,5.32,1.43,1.49,1.38,11,1.24,6.41,6.89,6.13,High Estimate,5.8,A
-0.84,-0.47,-0.98,11,-1.85,-2.68,-1.42,-3.9,11,-4.47,-0.87,-0.52,-0.99,11,-0.79,-3.62,-2.78,-4.05,High Estimate,-2.68,A
0,0,0,--,-0.01,0,0,0,--,--,0,0,0,--,0,0,0,0,High Estimate,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
-0.28,-0.24,-0.33,5,-0.28,-1.16,-1.02,-1.33,5,-1.08,-0.3,-0.25,-0.36,5,-0.24,-1.42,-1.11,-1.86,High Estimate,-1.16,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
-0.08,-0.03,-0.11,7,0.14,-0.29,-0.13,-0.41,7,0.46,-0.07,-0.02,-0.1,7,0.23,-0.06,0.28,-0.4,High Estimate,-0.29,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
0.41,0.54,0.27,3,1.06,2.15,2.33,2.05,3,3.85,0.37,0.47,0.24,3,0.64,2.8,3.08,2.5,High Estimate,2.15,A
1.53,1.62,1.47,6,1.5,6.54,6.6,6.49,6,6.19,2.47,2.62,2.35,6,2.33,6.96,7.11,6.87,High Estimate,6.54,A
