cQtrAvgEst,cQtrHighEst,cQtrLowEst,cQtrNoAnlst,cQtrYearAgoEPS,cYearAvgEst,cYearHighEst,cYearLowEst,cYearNoAnlst,cYearYearAgoEPS,nQtrAvgEst,nQtrHighEst,nQtrLowEst,nQtrNoAnlst,nQtrYearAgoEPS,nYearAvgEst,nYearHighEst,nYearLowEst,nYearNoAnlst,nYearYearAgoEPS,tickerName
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AAMC
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AACIU
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AAGR
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AAGRW
1.26,1.27,1.22,16,1.43,5.2,5.24,5.14,19,5.44,1.44,1.47,1.4,15,1.38,5.71,6.06,5.48,19,5.2,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,AACIW
0.06,0.08,0.05,3,0.1,0.21,0.24,0.2,3,0.44,0.12,0.12,0.11,3,0.21,0.52,0.56,0.5,3,0.21,ZYXI
-0.46,-0.36,-0.75,7,-0.41,-0.99,-0.22,-1.72,6,-1.72,0.21,0.98,-0.52,7,-0.2,-1.13,0.72,-2.03,7,-0.99,ZYME
-0.28,-0.24,-0.33,5,-0.28,-1.16,-1.02,-1.33,5,-1.08,-0.3,-0.25,-0.36,5,-0.24,-1.42,-1.11,-1.86,5,-1.16,ABOS
-0.43,-0.31,-0.49,5,-0.15,-1.62,-1.33,-1.8,5,-1.3,-0.42,-0.31,-0.48,5,-0.4,-0.47,0.26,-1.12,6,-1.62,ZVRA
-0.33,-0.3,-0.36,4,-0.44,-0.05,0.18,-0.57,4,-3.25,0.19,0.4,-0.06,4,-0.12,0.71,0.88,0.47,4,-0.05,ZUMZ
0.09,0.1,0.09,6,0.07,0.43,0.43,0.42,6,0.33,0.1,0.11,0.09,6,0.09,0.52,0.62,0.47,6,0.43,ZUO
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,ZTEK
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,ZTR
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,ZPTAW
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,ZURAW
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,ZONE
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,ZLSWU
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,ZPTA
-0.84,-0.47,-0.98,11,-1.85,-2.68,-1.42,-3.9,11,-4.47,-0.87,-0.52,-0.99,11,-0.79,-3.62,-2.78,-4.05,11,-2.68,ZNTL
0,0,0,1,--,0.11,0.13,0.09,2,-0.93,0.05,0.05,0.05,1,--,0.7,0.74,0.67,2,0.11,ZKH
-1.4,-1.4,-1.4,1,--,-8.52,-3.37,-24.86,5,--,-0.97,-0.97,-0.97,1,--,-3.97,-0.97,-10.22,5,-8.52,ZK
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,ZJYL
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,ZLS
1.79,2.17,1.38,4,-1.79,5.72,9.93,2.96,5,-22.42,3.45,4.58,1.91,4,-1.74,-1.19,1.13,-5.35,6,5.72,ZIM
1.17,1.28,1.03,21,1.13,4.58,4.81,4.25,22,4.86,1.16,1.31,0.96,21,1.29,4.78,5.05,4.5,22,4.58,ZION
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,ZIONO
0,0,0,--,-0.07,-0.59,-0.5,-0.71,4,-0.91,0,0,0,--,-0.31,0,0.13,-0.27,4,-0.59,ZH
0,0,0,--,-0.26,-0.03,-0.03,-0.03,1,-0.35,0,0,0,--,-0.13,0.01,0.01,0.01,1,-0.03,ZEPP
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,ZEOWW
1.53,1.62,1.47,6,1.5,6.54,6.6,6.49,6,6.19,2.47,2.62,2.35,6,2.33,6.96,7.11,6.87,6,6.54,ZD
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,ZGN
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,ZCAR
1.84,1.96,1.77,25,1.65,8.08,8.15,7.88,29,7.55,2.3,2.36,2.24,25,2.2,8.67,8.87,8.44,29,8.08,ZBH
-0.01,-0.01,-0.01,1,-0.11,-0.14,0.01,-0.28,2,-0.26,0.02,0.02,0.02,1,-0.12,0.03,0.03,0.03,2,-0.14,ZENV
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,ZAPPW
0.16,0.2,0.12,12,0.09,0.56,0.65,0.49,11,0.37,0.21,0.26,0.16,12,0.16,0.73,0.98,0.54,13,0.56,ZETA
0.89,0.95,0.8,4,1.29,3.65,4.48,2.89,12,4.13,0.96,1.05,0.87,3,1.22,3.97,4.8,3.11,12,3.65,YY
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,YYGH
0.35,0.41,0.31,11,0.33,1.3,1.44,1.19,12,1.26,0.32,0.38,0.25,11,0.2,1.85,2.34,1.52,12,1.3,Z
0.67,0.73,0.64,5,0.59,2.2,2.36,2.01,22,2,0.31,0.33,0.3,5,0.25,2.47,2.74,2.19,22,2.2,YUMC
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,YRD
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,YOTAR
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,YQ
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,YOSH
0.13,0.13,0.12,3,0.09,0.49,0.52,0.46,8,0.37,0.12,0.16,0.08,3,0.11,0.63,0.67,0.59,9,0.49,YMM
0.71,1.33,-0.06,5,0.81,4.23,6.31,2.49,8,-3.35,1,1.44,0.41,5,-0.33,4.24,6.73,3.07,8,4.23,YPF
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,YI
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,YJ
0,0,0,--,--,0.73,0.73,0.73,1,0.74,0,0,0,--,--,0.78,0.78,0.78,1,0.73,YALA
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,XYLO
0.27,0.32,0.21,7,0.21,1.45,1.54,1.32,7,1.35,0.46,0.51,0.41,7,0.79,2.01,2.19,1.71,7,1.45,YELP
-0.62,-0.62,-0.62,1,--,-3.19,-3.19,-3.19,1,-6.78,-0.53,-0.53,-0.53,1,-1.21,-0.83,-0.83,-0.83,1,-3.19,YCBD
0.02,0.03,0.01,4,0.06,0.37,0.4,0.35,4,0.33,0.14,0.15,0.13,4,0.09,0.49,0.68,0.22,3,0.37,YEXT
0,0,0,--,-22.4,0,0,0,--,--,0,0,0,--,-58.88,0,0,0,--,--,XXII
0,0,0,--,"-789,750,016",0,0,0,--,--,0,0,0,--,"-919,350,016",0,0,0,--,--,XTIA
0.54,0.59,0.47,3,0.46,1.68,1.82,1.51,3,1.82,0.79,0.92,0.7,3,0.43,1.76,2.15,1.52,3,1.68,XRX
0.47,0.51,0.4,12,0.49,1.98,2,1.96,12,1.83,0.59,0.62,0.54,12,0.44,2.31,2.48,2.21,13,1.98,XRAY
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,XTLB
0.96,1.01,0.9,20,0.88,3.63,3.75,3.48,21,2.92,0.74,0.82,0.65,19,0.77,4.69,5.4,4.25,22,3.63,XPO
0.17,0.25,0.1,3,-0.08,0.52,0.68,0.4,3,0.01,0.3,0.35,0.27,3,0.11,0.83,0.95,0.71,2,0.52,XPER
-0.27,-0.27,-0.27,1,-0.21,-1.02,-1.02,-1.02,1,-1.08,-0.24,-0.24,-0.24,1,-0.26,-0.82,-0.82,-0.82,1,-1.02,XPON
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,XOMAP
-1.99,-1.94,-2.02,3,-4.2,-7.16,-6.46,-7.59,3,-13.11,-1.73,-1.42,-1.99,3,-2.4,-4.8,-4.71,-4.86,3,-7.16,XOS
0.35,0.37,0.33,5,0.4,1.43,1.52,1.38,3,1.51,0.38,0.4,0.36,5,0.43,1.69,1.76,1.6,5,1.43,XP
-0.27,-0.01,-0.56,3,-0.59,-1.89,-1.06,-2.72,3,-4.04,-0.61,-0.48,-0.68,3,-0.6,-1.32,-0.97,-1.53,3,-1.89,XOMA
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,XNET
-0.06,-0.04,-0.08,4,-0.08,0.26,0.31,0.23,4,0.17,0.1,0.18,0.06,4,0.07,0.31,0.39,0.24,4,0.26,XHR
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,XFLT
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,XHG
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,XFIN
0.01,0.34,-0.24,7,-0.33,-0.55,-0.21,-0.8,7,-0.57,-0.18,-0.17,-0.19,7,-0.01,-0.47,-0.1,-0.7,7,-0.55,XFOR
-0.23,0.2,-0.66,2,-0.7,-1.39,-0.63,-2.16,2,-2.78,-0.4,-0.24,-0.57,2,-0.61,-0.94,0.01,-1.89,2,-1.39,XLO
-0.08,-0.08,-0.08,1,-0.09,-0.25,-0.25,-0.25,1,-0.62,-0.07,-0.07,-0.07,1,-0.15,0.1,0.1,0.1,1,-0.25,XELB
1.32,1.45,1.25,10,1.23,3.56,3.6,3.53,16,3.4,0.82,0.86,0.73,10,0.87,3.84,3.93,3.78,15,3.56,XEL
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,XBP
-0.08,-0.08,-0.08,1,--,-0.37,-0.37,-0.37,1,--,-0.11,-0.11,-0.11,1,-0.04,-0.25,-0.25,-0.25,1,-0.37,WYY
0,0,0,--,-0.16,0,0,0,--,--,0,0,0,--,-0.15,0,0,0,--,--,XBIT
-0.83,-0.83,-0.83,1,-0.69,-0.96,-0.96,-0.96,1,-2.71,-0.15,-0.15,-0.15,1,-0.69,-0.73,-0.73,-0.73,1,-0.96,XBIO
0.32,0.42,0.2,7,0.07,0.82,0.9,0.75,9,0.05,0.33,0.43,0.26,7,-0.3,1.23,1.48,1,9,0.82,WWW
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,WVVIP
0.49,0.77,0.29,5,1.4,2.61,3.3,2.33,5,4.73,0.36,0.52,0.24,4,0.67,3.15,3.75,2.54,6,2.61,X
0.06,0.1,0.03,3,0.06,0.18,0.22,0.14,2,-0.59,0.01,0.05,-0.05,3,-0.54,0.03,0.32,-0.48,3,0.18,WW
2.74,3.07,2.59,17,2.24,16.56,17,16.25,17,14.49,8.06,8.38,7.81,16,7.44,18.73,19.48,18,17,16.56,WTW
-0.01,0.02,-0.04,4,-0.08,-0.07,-0.03,-0.13,4,-0.35,-0.01,0,-0.03,4,-0.09,0.08,0.32,-0.09,4,-0.07,WULF
0.44,0.47,0.41,17,0.43,1.76,1.82,1.72,17,1.74,0.43,0.48,0.4,17,0.37,1.83,1.93,1.72,17,1.76,WU
0.28,0.31,0.22,5,0.3,2.07,2.17,1.98,7,1.86,0.63,0.67,0.57,5,0.49,2.14,2.2,2.1,8,2.07,WTRG
-0.09,-0.02,-0.16,2,0.01,-0.29,-0.2,-0.39,2,0.11,-0.01,0.03,-0.06,2,0,-0.24,-0.21,-0.27,2,-0.29,WTI
0,0,0,--,9.19,108,108,108,1,198.6,0,0,0,--,111.87,0,0,0,--,108,WTM
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,WTMAU
0.16,0.17,0.15,7,0.1,0.61,0.63,0.59,7,0.37,0.16,0.17,0.15,7,0.11,0.65,0.69,0.61,7,0.61,WT
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,WTFCM
2.52,2.65,2.38,13,2.53,10.25,10.45,10.08,7,9.58,2.5,2.61,2.39,13,1.87,10.18,10.5,9.6,13,10.25,WTFC
1.59,1.8,1.41,15,1.56,8.18,9.43,7.42,20,7.28,1.77,1.94,0.89,15,1.83,8.29,8.7,7.77,21,8.18,WSM
0.53,0.57,0.51,7,0.59,2.12,2.19,2.08,7,2.56,0.54,0.58,0.53,7,0.55,3.19,3.25,3.05,5,2.12,WSBC
1.06,1.1,1.02,5,1.23,4.31,4.39,4.2,5,4.55,1.06,1.12,0.99,5,1.15,4.45,4.59,4.35,5,4.31,WSFS
